OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
15597,1920,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,Saugus, 5N 16W-1,2; NW San Fran'to Powerhouse-AFA 1911-1920 transp.map*",100,140.20002747,,1,00000000
15598,1920,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,Saugus, 5N 17W-36+5N 16W-31;NEjnCastaic-Tapia-AFA 1911-1920 transp.map*",100,148.57720947,,1,00000000
15599,1920,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,Saugus, 5N 14W-30;W side MintCyn, S of SleepyVal-AFA 1911-1920 transp.*",280,141.69831848,,1,00000000
15600,1921,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,near Saugus, 8N 18W-24; SE Quail Lake-AFA 1921-1930 transp.map 1:260100",40,42.80928802,,1,00000000
15601,1923,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand, Saugus, 8N 17W-32; NW of Sandberg-AFA 1921-1930 transp.map 1:260100",50,86.71092224,,1,00000000
15602,1926,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand, Saugus, 8N 17W-32,33+7N 17W-4,5; NW of Sandberg-AFA 1921-1930 transp.*",475,489.33389282,,1,00000000
15603,1921,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,near Saugus,8N 16W-29,32; E side Pine Cyn N of 3Pts-AFA 1921-1930 tran*",160,152.08940125,,1,00000000
15604,1926,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,near Saugus,7N 15W-3; NW of Fairmont Reservoir-AFA 1921-1930 transp.ma*",45,55.65426254,,1,00000000
15605,1927,CA,USF,ANF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand,near Saugus,7N 15W-22; W of Lake Hughes-AFA 1921-1930 transp.map 1:260*",95,93.65871429,,1,00000000
15606,1923,CA,USF,ANF,RIDGE,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,"S.Imsand, Saugus, ADDN to #1598-AFA 1921-1930 transp.map 1:260100",1650,1007.18988037,,1,00000000
