Year,State Name,Move In,Move Out,Delta
2016,Massachusetts,149408,176873,-27465
2016,Michigan,155874,156354,-480
2016,Minnesota,111307,121583,-10276
2016,Mississippi,64639,77509,-12870
2016,Missouri,162809,159177,3632
2016,Montana,37775,31479,6296
2016,Nebraska,51448,47456,3992
2016,Nevada,117899,88563,29336
2016,New Hampshire,52457,45628,6829
2016,New Jersey,144359,226830,-82471
2016,New Mexico,64802,65578,-776
2016,New York,260723,450136,-189413
2016,North Carolina,330896,256563,74333
2016,North Dakota,29655,37658,-8003
2016,Ohio,195396,212041,-16645
2016,Oklahoma,102000,105685,-3685
2016,Oregon,139334,107169,32165
2016,Pennsylvania,252060,257792,-5732
2016,Rhode Island,32800,35606,-2806
2016,South Carolina,165230,127686,37544
2016,South Dakota,31789,29654,2135
2016,Tennessee,170867,182813,-11946
2016,Texas,531996,444340,87656
2016,Utah,107083,85803,21280
2016,Vermont,21262,23693,-2431
2016,Virginia,264164,275671,-11507
2016,Washington,257728,192362,65366
2016,West Virginia,47196,51476,-4280
2016,Wisconsin,118814,113882,4932
2016,Wyoming,26471,27184,-713
2016,Puerto Rico,21196,88676,-67480
2017,Alabama,111803,101466,10337
2017,Alaska,30199,42972,-12773
2017,Arizona,261727,163214,98513
2017,Arkansas,79411,69850,9561
2017,California,523131,661026,-137895
2017,Colorado,226933,194296,32637
2017,Connecticut,83325,98971,-15646
2017,Delaware,38532,35653,2879
2017,District of Columbia ,56231,65018,-8787
2017,Florida,566476,447586,118890
2017,Georgia,278889,254956,23933
2017,Hawaii,46457,66597,-20140
2017,Idaho,71899,56954,14945
2017,Illinois,195092,339435,-144343
2017,Indiana,142290,132094,10196
2017,Iowa,77072,79358,-2286
2017,Kansas,86154,99660,-13506
2017,Kentucky,103985,99490,4495
2017,Louisiana,72836,102212,-29376
2017,Maine,34252,27425,6827
2017,Maryland,165654,183900,-18246
2017,Massachusetts,146299,173033,-26734
2017,Michigan,148787,148059,728
2017,Minnesota,115623,125130,-9507
2017,Mississippi,73549,78043,-4494
2017,Missouri,164957,153284,11673
2017,Montana,35456,28012,7444
2017,Nebraska,52507,47760,4747
2017,Nevada,133074,98226,34848
2017,New Hampshire,52893,41740,11153
2017,New Jersey,152106,224961,-72855
2017,New Mexico,57255,67296,-10041
2017,New York,285252,452580,-167328
2017,North Carolina,313834,243206,70628
2017,North Dakota,37315,37344,-29
2017,Ohio,198929,206479,-7550
2017,Oklahoma,101961,96005,5956
2017,Oregon,149513,109454,40059
2017,Pennsylvania,250120,254634,-4514
2017,Rhode Island,36850,30166,6684
2017,South Carolina,166573,128797,37776
2017,South Dakota,26106,27412,-1306
2017,Tennessee,191909,155665,36244
2017,Texas,524511,467338,57173
2017,Utah,99584,89721,9863
2017,Vermont,21868,20872,996
2017,Virginia,250490,262563,-12073
2017,Washington,260787,198813,61974
2017,West Virginia,40007,43321,-3314
2017,Wisconsin,112519,113492,-973
2017,Wyoming,18511,25954,-7443
2017,Puerto Rico,20167,97488,-77321
2018,Alabama,109301,98194,11107
2018,Alaska,32099,39246,-7147
2018,Arizona,273714,179586,94128
2018,Arkansas,73179,69724,3455
2018,California,501023,691145,-190122
2018,Colorado,239153,203460,35693
2018,Connecticut,84718,114235,-29517
2018,Delaware,34451,33395,1056
2018,District of Columbia ,47555,60363,-12808
2018,Florida,587261,470977,116284
2018,Georgia,274273,231337,42936
2018,Hawaii,54074,67293,-13219
2018,Idaho,79765,55183,24582
2018,Illinois,206620,305033,-98413
2018,Indiana,145256,136563,8693
2018,Iowa,74199,70659,3540
2018,Kansas,95748,96850,-1102
2018,Kentucky,110456,100514,9942
2018,Louisiana,81355,95326,-13971
2018,Maine,34706,25012,9694
2018,Maryland,163216,182323,-19107
2018,Massachusetts,144042,179017,-34975
2018,Michigan,139276,152605,-13329
2018,Minnesota,100270,112228,-11958
2018,Mississippi,68000,76567,-8567
2018,Missouri,152326,174949,-22623
2018,Montana,43375,35292,8083
2018,Nebraska,54579,54462,117
2018,Nevada,127362,89791,37571
2018,New Hampshire,48367,43633,4734
2018,New Jersey,159846,231321,-71475
2018,New Mexico,60068,74459,-14391
2018,New York,254447,458014,-203567
2018,North Carolina,318681,238947,79734
2018,North Dakota,33735,33006,729
2018,Ohio,198026,206948,-8922
2018,Oklahoma,106943,97474,9469
2018,Oregon,140627,132698,7929
2018,Pennsylvania,253520,240832,12688
2018,Rhode Island,32841,31423,1418
2018,South Carolina,186505,141258,45247
2018,South Dakota,26775,28747,-1972
2018,Tennessee,209377,173250,36127
2018,Texas,563945,462140,101805
2018,Utah,100824,91741,9083
2018,Vermont,26306,20832,5474
2018,Virginia,274003,262345,11658
2018,Washington,260906,222472,38434
2018,West Virginia,43841,46546,-2705
2018,Wisconsin,114613,105789,8824
2018,Wyoming,25734,26078,-344
2018,Puerto Rico,20900,133451,-112551
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
